ID	NAME	POLICY	STATUS
1	Exponential Interactive, Inc d/b/a VDX.tv	https://vdx.tv/privacy/	200
2	Captify Technologies Limited	https://www.captifytechnologies.com/privacy-notice/	200
4	Roq.ad Inc.	https://www.roq.ad/privacy-policy	200
6	AdSpirit GmbH	https://www.adspirit.de/privacy	200
7	Vibrant Media Limited	https://www.vibrantmedia.com/en/privacy-policy/	200
8	Emerse Sverige AB	https://www.emerse.com/privacy-policy/	200
9	AdMaxim Inc.	http://www.admaxim.com/admaxim-privacy-policy/	200
10	Index Exchange, Inc.	https://www.indexexchange.com/privacy	200
11	Quantcast International Limited	https://www.quantcast.com/privacy/	200
12	BeeswaxIO Corporation	https://www.beeswax.com/privacy/	200
13	Sovrn Holdings Inc	https://www.sovrn.com/sovrn-privacy/	200
14	Adkernel LLC	https://adkernel.com/privacy-policy/	200
15	Adikteev	https://www.adikteev.com/privacy	200
16	RTB House S.A.	https://www.rtbhouse.com/privacy-center/services-privacy-policy/	200
18	Widespace AB	https://www.widespace.com/legal/privacy-policy-notice/	200
20	N Technologies Inc.	https://n.rich/privacy-notice	200
21	The Trade Desk	https://www.thetradedesk.com/general/privacy-policy	200
22	admetrics GmbH	https://admetrics.io/en/privacy_policy/	error
23	Amobee Inc.	https://www.amobee.com/trust/gdpr/	200
24	Epsilon	https://www.epsilon.com/emea/privacy-policy	200
25	Yahoo EMEA Limited	https://legal.yahoo.com/ie/en/yahoo/privacy/index.html	200
26	Venatus Media Limited	https://www.venatusmedia.com/privacy/	200
27	ADventori SAS	https://www.adventori.com/with-us/legal-notice/	200
28	TripleLift, Inc.	https://triplelift.com/privacy/	200
29	ETARGET SE	https://sk.search.etargetnet.com/policy.html	200
30	BidTheatre AB	https://www.bidtheatre.com/privacy-policy	200
31	Ogury Ltd.	https://www.ogury.com/privacy-policy/	200
32	Xandr, Inc.	https://www.xandr.com/privacy/platform-privacy-policy/	200
33	ShareThis, Inc	https://sharethis.com/privacy/	200
34	NEORY GmbH	https://www.neory.com/privacy.html	200
36	Unruly Group LLC	https://unruly.co/legal/privacy/	200
37	NEURAL.ONE	https://web.neural.one/privacy-policy/	200
39	ADITION technologies GmbH	https://www.adition.com/en/privacy-platform	200
40	Active Agent (ADITION technologies GmbH)	https://www.adition.com/en/privacy-platform	200
41	Adverline	https://www.adverline.com/privacy/	200
42	Taboola Europe Limited	https://www.taboola.com/privacy-policy	200
44	The ADEX GmbH	https://theadex.com/privacy-opt-out/	200
45	Smart Adserver	https://smartadserver.com/end-user-privacy-policy/	200
46	Skimbit Ltd	https://skimlinks.com/pages/privacy-policy	200
47	ADMAN - Phaistos Networks, S.A.	https://www.adman.gr/privacy	200
48	NetSuccess, s.r.o.	https://www.inres.sk/pp/	200
49	Jellyfish France	https://www.jellyfish.com/fr-fr/privacy-policy	200
50	Adform	https://site.adform.com/privacy-center/platform-privacy/product-and-services-privacy-policy/	200
51	xAd, Inc. dba GroundTruth	https://www.groundtruth.com/privacy-policy/	200
52	Magnite, Inc.	https://www.magnite.com/legal/advertising-technology-privacy-policy/	200
53	Sirdata	https://www.sirdata.com/en/Privacy	200
56	Confiant Inc.	https://www.confiant.com/privacy	200
57	ADARA MEDIA UNLIMITED	https://adara.com/privacy-promise/	403
58	33Across	https://www.33across.com/privacy-policy	200
59	Sift Media, Inc	https://www.sift.co/privacy	200
60	Rakuten Marketing LLC	https://rakutenadvertising.com/legal-notices/services-privacy-policy/	200
61	GumGum, Inc.	https://gumgum.com/privacy-policy	200
62	Justpremium BV	https://justpremium.com/privacy-policy/	200
63	Avocet Systems Limited	https://avocet.io/privacy-portal	200
65	Location Sciences AI Ltd.	https://www.locationsciencesgroup.ai/privacy-policy/	200
66	adsquare GmbH	https://www.adsquare.com/privacy	200
67	LifeStreet Corporation	https://lifestreet.com/privacy/	200
68	Sizmek by Amazon	https://www.sizmek.com/privacy-policy/	200
69	OpenX	https://www.openx.com/legal/privacy-policy/	200
70	Yieldlab AG	https://www.yieldlab.de/meta-navigation/datenschutz/	200
71	Roku Advertising Services	https://docs.roku.com/published/userprivacypolicy/en/us	200
72	Nano Interactive GmbH	https://www.nanointeractive.com/privacy-statement/	200
73	Simplifi Holdings Inc	https://simpli.fi/site-privacy-policy/	200
75	M32 Connect Inc	https://m32.media/privacy-cookie-policy/	200
76	PubMatic, Inc.	https://pubmatic.com/privacy-policy/	200
77	Comscore B.V.	https://www.scorecardresearch.com/privacy.aspx?newlanguage=1	200
78	Flashtalking, Inc.	https://www.flashtalking.com/privacypolicy/	200
79	MediaMath, Inc.	https://www.mediamath.com/privacy-policy/	200
80	Sharethrough, Inc	https://platform-cdn.sharethrough.com/privacy-policy	200
81	PulsePoint, Inc.	https://www.pulsepoint.com/privacy-policy/website	404
82	Smaato, Inc.	https://www.smaato.com/privacy/	200
83	Visarity Technologies GmbH	https://primo.design/docs/PrivacyPolicyPrimo.html	200
84	Semasio GmbH	https://www.semasio.com/privacy-policy/	200
85	Crimtan Holdings Limited	https://crimtan.com/privacy/	200
86	Scene Stealer Limited	https://scenestealer.tv/privacy-policy/	301
87	Betgenius Ltd	https://www.geniussports.com/privacy-policy	200
88	TreSensa Technologies, Inc.	https://www.tresensa.com/eu-privacy	200
89	Tapad, Inc.	https://www.tapad.com/eu-privacy-policy	200
90	Teroa S.A.	https://www.e-planning.net/en/privacy.html	200
91	Criteo SA	https://www.criteo.com/privacy/	200
92	1plusX AG	https://www.1plusx.com/privacy-policy/	200
93	Adloox SA	https://adloox.com/disclaimer	200
94	Blis Media Limited	https://www.blis.com/privacy/	200
95	Lotame Solutions, inc	https://www.lotame.com/about-lotame/privacy/lotame-corporate-websites-privacy-policy/	200
97	LiveRamp, Inc.	https://liveramp.fr/iab-transparency-consent-framework/	200
98	GroupM UK Limited	https://www.groupm.com/privacy-notice	200
100	Fifty Technology Limited	https://fifty.io/privacy-policy.php	200
101	MiQ	https://wearemiq.com/privacy-policy/	200
102	Magnite, Inc. (Outstream)	https://www.magnite.com/legal/advertising-technology-privacy-policy/	200
104	Sonobi, Inc	https://sonobi.com/privacy-policy/	200
108	Rich Audience Technologies SL	https://richaudience.com/privacy/	200
109	LoopMe Limited	https://loopme.com/privacy-policy/	200
110	Dynata LLC	https://www.opinionoutpost.co.uk/en-gb/policies/privacy	200
111	Showheroes SE	https://showheroes.com/privacy/	200
114	Sublime	https://ayads.co/privacy.php	200
115	smartclip Europe GmbH	https://privacy-portal.smartclip.net/	200
119	Fusio by S4M	https://www.s4m.io/privacy-policy/	200
120	Eyeota Pte Ltd	https://www.eyeota.com/privacy-center	200
122	Dentsu London Limited	https://privacy.metadsp.co.uk/privacy-policy.html	200
124	Teemo SA	https://teemo.co/privacy-policy/	200
126	DoubleVerify Inc.​	https://doubleverify.com/privacy-notice/	200
127	PIXIMEDIA SAS	https://piximedia.com/privacy/	200
128	BIDSWITCH GmbH	https://www.bidswitch.com/privacy-policy/	200
129	IPONWEB GmbH	https://www.iponweb.com/privacy-policy/	200
130	NextRoll, Inc.	https://www.nextroll.com/privacy	200
131	ID5 Technology Ltd	https://id5.io/privacy	200
132	Teads	https://www.teads.com/privacy-policy/	200
133	digitalAudience	https://digitalaudience.io/legal/	200
134	SMARTSTREAM.TV GmbH	https://www.smartstream.tv/en/productprivacy	200
136	Ströer SSP GmbH (SSP)	https://www.stroeer.de/ssp-datenschutz	200
137	Ströer SSP GmbH (DSP)	https://www.stroeer.de/ssp-datenschutz	200
138	ConnectAd Realtime GmbH	https://connectadrealtime.com/privacy/	200
139	Permodo GmbH	https://permodo.com/de/privacy.html	200
140	Platform161 B.V.	https://platform161.com/cookie-and-privacy-policy/	200
141	1020, Inc. dba Placecast and Ericsson Emodo	https://www.emodoinc.com/privacy-policy/	200
142	Media.net Advertising FZ-LLC	https://www.media.net/privacy-policy/	200
143	Connatix Native Exchange Inc.	https://connatix.com/privacy-policy/	200
144	district m inc.	https://districtm.net/en/page/platforms-data-and-privacy-policy/	500
145	Snapsort Inc., operating as Sortable	https://help.sortable.com/help/privacy-policy	200
147	Adacado Technologies Inc. (DBA Adacado)	https://adacado.com/privacy-policy/	200
148	Liveintent Inc.	https://liveintent.com/services-privacy-policy/	200
149	ADman Interactive SLU	https://admanmedia.com/politica.html?setLng=es	200
150	Inskin Media LTD	https://www.inskinmedia.com/privacy-policy.html	200
151	Admedo Technology Ltd	https://www.admedo.com/privacy-policy	200
152	Meetrics GmbH	https://www.meetrics.com/en/data-privacy/	200
153	MADVERTISE MEDIA	https://madvertise.com/en/gdpr/	200
154	YOC AG	https://yoc.com/privacy/	200
155	AntVoice	https://www.antvoice.com/en/privacypolicy/	200
157	Seedtag Advertising S.L	https://www.seedtag.com/en/privacy-policy/	200
158	Reveal Mobile Inc	https://revealmobile.com/privacy/	200
159	Underdog Media LLC	https://underdogmedia.com/privacy-policy/	200
160	Audience Solutions S.A.	https://audience-solutions.com/privacy.html	200
161	Smadex SLU	https://smadex.com/end-user-privacy-policy/	200
162	Unruly Group Ltd	https://unruly.co/privacy/	200
163	Bombora Inc.	https://bombora.com/privacy	200
164	Outbrain UK Ltd	https://www.outbrain.com/privacy	200
165	SpotX, Inc	https://www.spotx.tv/privacy-policy/	200
167	Audiens S.r.l.	https://www.audiens.com/privacy	200
168	EASYmedia GmbH	https://login.rtbmarket.com/gdpr	200
170	Goodway Group, Inc.	https://goodwaygroup.com/privacy-policy/	200
173	Yieldmo, Inc.	https://www.yieldmo.com/privacy/	200
174	A Million Ads Ltd	https://www.amillionads.com/privacy-policy	200
177	plista GmbH	https://www.plista.com/about/privacy/	200
178	Hybrid Theory	https://hybridtheory.com/privacy-notice/	200
179	Collective Europe Ltd.	https://www.collectiveuk.com/privacy.html	error
183	EMX Digital LLC	https://emxdigital.com/privacy/	200
184	mediarithmics SAS	https://www.mediarithmics.com/en-us/content/privacy-policy	200
185	Bidtellect, Inc	https://www.bidtellect.com/privacy-policy/	200
190	video intelligence AG	https://www.vi.ai/privacy-policy/	200
192	remerge GmbH	https://remerge.io/privacy-policy.html	200
193	Mediasmart Mobile S.L.	https://mediasmart.io/privacy/	200
194	Rezonence Limited	https://rezonence.com/privacy-policy/	200
195	advanced store GmbH	https://www.advanced-store.com/de/datenschutz/	200
196	AdElement Media Solutions Pvt Ltd	http://adelement.com/privacy-policy.html	200
198	SYNC	https://www.sync.tv/privacy.html	200
199	ADUX	https://www.adux.com/donnees-personnelles/	200
200	Tapjoy, Inc.	https://www.tapjoy.com/legal/#privacy-policy	200
202	Magnite CTV, Inc.	https://www.magnite.com/legal/advertising-technology-privacy-policy/	200
203	Revcontent, LLC	https://help.revcontent.com/en/knowledge/revcontent-privacy-policy	200
205	Adssets AB	https://adssets.com/policy/	200
206	Hybrid Adtech GmbH	https://hybrid.ai/data_protection_policy	200
208	Spotad	https://spotad.co/privacy-policy-2/	200
209	Delta Projects AB	https://deltaprojects.com/data-collection-policy	200
210	Zemanta, Inc.	https://www.zemanta.com/privacy	200
211	AdTheorent, Inc	https://adtheorent.com/privacy-policy	200
212	usemax advertisement (Emego GmbH)	https://www.usemax.de/?l=privacy	200
213	emetriq GmbH	https://www.emetriq.com/datenschutz/	200
215	ARMIS SAS	https://armis.tech/en/armis-personal-data-privacy-policy/	200
216	Mindlytix SAS	https://mindlytix.com/privacy/	200
217	2KDirect, Inc. (dba iPromote)	https://www.ipromote.com/privacy-policy/	200
218	Bigabid Media ltd	https://www.bigabid.com/Legal/	200
223	Audience Trading Platform Ltd.	https://atp.io/privacy-policy	error
224	adrule mobile GmbH	https://www.adrule.net/de/datenschutz/	200
226	Publicis Media GmbH	https://www.publicismedia.de/datenschutz/	200
227	Opt Out Advertising B.V.	https://optoutadvertising.com/privacy-policy/	200
228	McCann Discipline LTD	https://www.primis.tech/privacy-policy/	200
230	MNTN	https://mountain.com/privacy-policy/#ref-sh	200
231	AcuityAds Inc.	https://privacy.acuityads.com/corporate-privacy-policy.html	200
232	Rockerbox, Inc	https://www.rockerbox.com/privacy	200
234	ZBO Media	https://zbo.media/mentions-legales/politique-de-confidentialite-service-publicitaire/	200
235	Bucksense Inc	https://www.bucksense.com/platform-privacy-policy/	200
236	PowerLinks Media Limited	https://www.powerlinks.com/privacy-policy/	200
237	VGI CTV, Inc	https://verve.com/privacy-policy/index.html	200
238	StackAdapt	https://www.stackadapt.com/privacy	200
239	Triton Digital Canada Inc.	https://www.tritondigital.com/privacy-policies	200
240	7Hops.com Inc. (ZergNet)	https://zergnet.com/privacy	200
241	OneTag Limited	https://www.onetag.com/privacy/	200
242	twiago GmbH	https://www.twiago.com/datenschutz/	200
243	Cloud Technologies S.A.	https://www.cloudtechnologies.pl/en/internet-advertising-privacy-policy	200
244	Ermes	https://www.ermes.ai/politique-de-confidentialite/	200
246	Smartology Limited	https://www.smartology.net/privacy-policy/	200
248	Converge-Digital	https://converge-digital.com/privacy-policy/	200
249	Spolecznosci Sp. z o.o. Sp. k.	https://www.spolecznosci.pl/polityka-prywatnosci	200
250	Qriously Ltd	https://www.brandwatch.com/legal/qriously-privacy-notice/	404
251	Yieldlove GmbH	https://www.yieldlove.com/cookie-policy	200
252	Jaduda GmbH	https://www.jadudamobile.com/datenschutzerklaerung/	200
253	Improve Digital	https://www.improvedigital.com/platform-privacy-policy	200
254	LiquidM Technology GmbH	https://liquidm.com/privacy-policy/	200
255	Onnetwork Sp. z o.o.	https://www.onnetwork.tv/pp_services.php	200
256	Wunderkind Corporation	https://www.wunderkind.co/privacy/	200
259	ADYOULIKE SA	https://www.adyoulike.com/pages/privacy	200
261	Signal Digital Inc.	https://www.signal.co/privacy-policy/	200
262	Fyber	https://www.fyber.com/legal/privacy-policy/	200
263	Nativo, Inc.	https://www.nativo.com/interest-based-ads	200
264	Adobe Advertising Cloud	https://www.adobe.com/privacy/experience-cloud.html	200
265	Instinctive, Inc.	https://instinctive.io/privacy	404
266	Rebold Marketing & Communication SLU	https://letsrebold.com/es/privacy-policy/	200
270	Marfeel Solutions, SL	https://www.marfeel.com/privacy-policy/	200
272	A.Mob	https://www.we-are-adot.com/privacy-policy/	200
273	Bannerflow AB	https://www.bannerflow.com/privacy	200
274	Golden Bees	https://www.goldenbees.fr/en/privacy-charter/	200
275	TabMo SAS	https://static.tabmo.io.s3.amazonaws.com/privacy-policy/index.html	error
276	ShowHeroes SRL	https://www.iubenda.com/privacy-policy/41798584	200
277	CentralNic Poland sp. z o.o.	https://voluumdsp.com/end-user-privacy-policy/	200
278	Integral Ad Science, Inc.	https://integralads.com/privacy-policy/	200
279	Mirando GmbH & Co KG	https://www.mirando.de/datenschutz/	200
280	OpenWeb LTD	https://www.openweb.com/legal-and-privacy/privacy/	200
281	Wizaly	https://www.wizaly.com/terms-of-use#privacy-policy	200
282	Welect GmbH	https://www.welect.de/datenschutz	200
284	Weborama	https://weborama.com/respect-de-la-vie-privee-2-2/	200
285	Comcast International France SAS	https://www.freewheel.com/privacy-policy	200
289	mobalo GmbH	https://www.mobalo.com/en/privacy/	200
290	Readpeak Oy	https://readpeak.com/privacy-policy/	200
293	SpringServe, LLC	https://springserve.com/privacy-policy/	200
294	Jivox Corporation	https://www.jivox.com/privacy	200
295	Sojern, Inc.	https://www.sojern.com/privacy/privacy-policy/	200
297	Polar Mobile Group Inc.	https://privacy.polar.me	200
298	Cuebiq	https://privacy.cuebiq.com	error
299	AdClear GmbH	https://www.adclear.de/datenschutzerklaerung/	200
301	zeotap GmbH	https://zeotap.com/privacy_policy	200
302	Mobile Professionals BV	https://mobpro.com/privacy.html	200
303	Orion Semantics	https://static.orion-semantics.com/privacy.html	200
304	On Device Research Limited	https://s.on-device.com/privacyPolicy	200
308	Rockabox Media Ltd t/a Scoota	https://www.scoota.com/privacy	200
310	Adevinta Spain S.L.U.	https://www.adevinta.com/about/privacy/	200
311	Mobfox US LLC	https://www.mobfox.com/privacy-policy/	200
312	Exactag GmbH	https://www.exactag.com/en/data-privacy/	200
314	Keymantics	https://www.kmtx.com/privacy/	200
315	Celtra, Inc.	https://www.celtra.com/privacy-policy/	200
316	Gamned	https://www.gamned.com/privacy-policy/	200
317	mainADV Srl	https://www.mainad.com/privacy-policy/	403
318	Accorp Sp. z o.o.	https://www.instytut-pollster.pl/privacy-policy/	error
319	Clipcentric, Inc.	https://clipcentric.com/privacy.bhtml	200
321	Ziff Davis LLC	https://www.ziffdavis.com/privacy-policy	200
323	Footballco Media Limited	https://www.goal.com/en-gb/legal/privacy-policy	200
325	Knorex	https://www.knorex.com/privacy	200
328	Gemius SA	https://www.gemius.com/cookie-policy.html	200
329	Browsi	https://gobrowsi.com/privacy-policy/	200
331	ad6media	https://www.ad6media.fr/privacy	200
333	InMobi Pte Ltd	https://www.inmobi.com/privacy-policy-for-eea	200
334	Cydersoft	https://www.videmob.com/privacy.html	200
335	Beachfront Media LLC	https://beachfront.com/privacy-policy/	200
336	Telecoming S.A.	https://www.telecoming.com/privacy-policy/	200
337	SheMedia, LLC	https://www.shemedia.com/ad-services-privacy-policy	200
343	DIGITEKA Technologies	https://www.ultimedia.com/POLICY.html	200
345	The Kantar Group Limited	https://www.kantar.com/cookies-policies	200
347	Ezoic Inc.	https://www.ezoic.com/terms/	200
349	Optomaton UG	https://www.optomaton.com/privacy.html	error
350	Samba TV Inc.	https://samba.tv/legal/privacy-policy/	200
351	Samba TV UK Limited	https://samba.tv/legal/privacy-policy/	200
354	Apester Ltd	https://apester.com/privacy-policy/	200
358	MGID Inc.	https://www.mgid.com/privacy-policy	200
359	AerServ LLC	https://www.inmobi.com/privacy-policy-for-eea	200
360	Permutive Technologies, Inc.	https://permutive.com/privacy/	200
361	Permutive Limited	https://permutive.com/privacy/	200
365	Impact Tech Inc.	https://impact.com/privacy-policy/	200
368	VECTAURY	https://vectaury.io/privacy/	200
371	Seeding Alliance GmbH	https://seeding-alliance.de/datenschutz/	200
373	Nielsen Marketing Cloud	https://www.nielsen.com/us/en/legal/privacy-statement/nielsen-marketing-cloud-privacy-notice/	200
374	Bmind a Sales Maker Company, S.L.	https://www.bmind.es/legal-notice/	200
375	RevX	https://revx.io/privacy-policy	200
377	AddApptr GmbH	https://www.addapptr.com/data-privacy	200
378	communicationAds GmbH &amp; Co. KG	https://www.communicationads.net/aboutus/privacy/	200
380	Vidoomy Media SL	https://vidoomy.com/privacy-policy.html	200
381	Solocal	https://frontend.adhslx.com/privacy.html?	200
382	The Reach Group GmbH	https://trg.de/en/privacy-statement/	200
384	Pixalate, Inc.	https://pixalate.com/privacypolicy/	200
385	Oracle Data Cloud	https://www.oracle.com/legal/privacy/marketing-cloud-data-cloud-privacy-policy.html	200
387	Triapodi Ltd.	https://appreciate.mobi/page.html#/end-user-privacy-policy	200
388	numberly	https://numberly.com/en/privacy/	200
394	AudienceProject Aps	https://privacy.audienceproject.com	200
397	Demandbase, Inc.	https://www.demandbase.com/privacy-policy/	200
402	Effiliation / Effinity	https://inter.effiliation.com/politique-confidentialite.html	200
408	Fidelity Media	https://fidelity-media.com/privacy-policy/	error
409	Arrivalist Co	https://www.arrivalist.com/privacy/	200
410	Adtelligent Inc.	https://adtelligent.com/privacy-policy/	200
412	Piano Software Inc	https://www.cxense.com/about-us/privacy-policy	200
413	Eulerian Technologies	https://www.eulerian.com/en/privacy/	200
415	Seenthis AB	https://seenthis.co/privacy-notice-2018-04-18.pdf	200
